1 52.000000  -0.109000  53.799999
2 53.799999  0.000000  53.599998
3 53.599998  0.178000  53.500000
4 53.500000  0.339000  53.500000
5 53.500000  0.373000  53.400002
6 53.400002  0.441000  53.099998
7 53.099998  0.461000  52.700001
8 52.700001  0.348000  52.400002
9 52.400002  0.127000  52.200001
10 52.200001  -0.180000  52.000000
11 52.000000  -0.588000  52.000000
12 52.000000  -1.055000  52.400002
13 52.400002  -1.421000  53.000000
14 53.000000  -1.520000  54.000000
15 54.000000  -1.302000  54.900002
16 54.900002  -0.814000  56.000000
17 56.000000  -0.475000  56.799999
18 56.799999  -0.193000  56.799999
19 56.799999  0.088000  56.400002
20 56.400002  0.435000  55.700001
21 55.700001  0.771000  55.000000
22 55.000000  0.866000  54.299999
23 54.299999  0.875000  53.200001
24 53.200001  0.891000  52.299999
25 52.299999  0.987000  51.599998
26 51.599998  1.263000  51.200001
27 51.200001  1.775000  50.799999
28 50.799999  1.976000  50.500000
29 50.500000  1.934000  50.000000
30 50.000000  1.866000  49.200001
31 49.200001  1.832000  48.400002
32 48.400002  1.767000  47.900002
33 47.900002  1.608000  47.599998
34 47.599998  1.265000  47.500000
35 47.500000  0.790000  47.500000
36 47.500000  0.360000  47.599998
37 47.599998  0.115000  48.099998
38 48.099998  0.088000  49.000000
39 49.000000  0.331000  50.000000
40 50.000000  0.645000  51.099998
41 51.099998  0.960000  51.799999
42 51.799999  1.409000  51.900002
43 51.900002  2.670000  51.700001
44 51.700001  2.834000  51.200001
45 51.200001  2.812000  50.000000
46 50.000000  2.483000  48.299999
47 48.299999  1.929000  47.000000
48 47.000000  1.485000  45.799999
49 45.799999  1.214000  45.599998
50 45.599998  1.239000  46.000000
51 46.000000  1.608000  46.900002
52 46.900002  1.905000  47.799999
53 47.799999  2.023000  48.200001
54 48.200001  1.815000  48.299999
55 48.299999  0.535000  47.900002
56 47.900002  0.122000  47.200001
57 47.200001  0.009000  47.200001
58 47.200001  0.164000  48.099998
59 48.099998  0.671000  49.400002
60 49.400002  1.019000  50.599998
61 50.599998  1.146000  51.500000
62 51.500000  1.155000  51.599998
63 51.599998  1.112000  51.200001
64 51.200001  1.121000  50.500000
65 50.500000  1.223000  50.099998
66 50.099998  1.257000  49.799999
67 49.799999  1.157000  49.599998
68 49.599998  0.913000  49.400002
69 49.400002  0.620000  49.299999
70 49.299999  0.255000  49.200001
71 49.200001  -0.280000  49.299999
72 49.299999  -1.080000  49.700001
73 49.700001  -1.551000  50.299999
74 50.299999  -1.799000  51.299999
75 51.299999  -1.825000  52.799999
76 52.799999  -1.456000  54.400002
77 54.400002  -0.944000  56.000000
78 56.000000  -0.570000  56.900002
79 56.900002  -0.431000  57.500000
80 57.500000  -0.577000  57.299999
81 57.299999  -0.960000  56.599998
82 56.599998  -1.616000  56.000000
83 56.000000  -1.875000  55.400002
84 55.400002  -1.891000  55.400002
85 55.400002  -1.746000  56.400002
86 56.400002  -1.474000  57.200001
87 57.200001  -1.201000  58.000000
88 58.000000  -0.927000  58.400002
89 58.400002  -0.524000  58.400002
90 58.400002  0.040000  58.099998
91 58.099998  0.788000  57.700001
92 57.700001  0.943000  57.000000
93 57.000000  0.930000  56.000000
94 56.000000  1.006000  54.700001
95 54.700001  1.137000  53.200001
96 53.200001  1.198000  52.099998
97 52.099998  1.054000  51.599998
98 51.599998  0.595000  51.000000
99 51.000000  -0.080000  50.500000
100 50.500000  -0.314000  50.400002
101 50.400002  -0.288000  51.000000
102 51.000000  -0.153000  51.799999
103 51.799999  -0.109000  52.400002
104 52.400002  -0.187000  53.000000
105 53.000000  -0.255000  53.400002
106 53.400002  -0.229000  53.599998
107 53.599998  -0.007000  53.700001
108 53.700001  0.254000  53.799999
109 53.799999  0.330000  53.799999
110 53.799999  0.102000  53.799999
111 53.799999  -0.423000  53.299999
112 53.299999  -1.139000  53.000000
