1 52.000000  52.000000  52.000000  -0.109000  0.000000  0.000000  53.799999
2 53.799999  52.000000  52.000000  0.000000  -0.109000  0.000000  53.599998
3 53.599998  53.799999  52.000000  0.178000  0.000000  -0.109000  53.500000
4 53.500000  53.599998  53.799999  0.339000  0.178000  0.000000  53.500000
5 53.500000  53.500000  53.599998  0.373000  0.339000  0.178000  53.400002
6 53.400002  53.500000  53.500000  0.441000  0.373000  0.339000  53.099998
7 53.099998  53.400002  53.500000  0.461000  0.441000  0.373000  52.700001
8 52.700001  53.099998  53.400002  0.348000  0.461000  0.441000  52.400002
9 52.400002  52.700001  53.099998  0.127000  0.348000  0.461000  52.200001
10 52.200001  52.400002  52.700001  -0.180000  0.127000  0.348000  52.000000
11 52.000000  52.200001  52.400002  -0.588000  -0.180000  0.127000  52.000000
12 52.000000  52.000000  52.200001  -1.055000  -0.588000  -0.180000  52.400002
13 52.400002  52.000000  52.000000  -1.421000  -1.055000  -0.588000  53.000000
14 53.000000  52.400002  52.000000  -1.520000  -1.421000  -1.055000  54.000000
15 54.000000  53.000000  52.400002  -1.302000  -1.520000  -1.421000  54.900002
16 54.900002  54.000000  53.000000  -0.814000  -1.302000  -1.520000  56.000000
17 56.000000  54.900002  54.000000  -0.475000  -0.814000  -1.302000  56.799999
18 56.799999  56.000000  54.900002  -0.193000  -0.475000  -0.814000  56.799999
19 56.799999  56.799999  56.000000  0.088000  -0.193000  -0.475000  56.400002
20 56.400002  56.799999  56.799999  0.435000  0.088000  -0.193000  55.700001
21 55.700001  56.400002  56.799999  0.771000  0.435000  0.088000  55.000000
22 55.000000  55.700001  56.400002  0.866000  0.771000  0.435000  54.299999
23 54.299999  55.000000  55.700001  0.875000  0.866000  0.771000  53.200001
24 53.200001  54.299999  55.000000  0.891000  0.875000  0.866000  52.299999
25 52.299999  53.200001  54.299999  0.987000  0.891000  0.875000  51.599998
26 51.599998  52.299999  53.200001  1.263000  0.987000  0.891000  51.200001
27 51.200001  51.599998  52.299999  1.775000  1.263000  0.987000  50.799999
28 50.799999  51.200001  51.599998  1.976000  1.775000  1.263000  50.500000
29 50.500000  50.799999  51.200001  1.934000  1.976000  1.775000  50.000000
30 50.000000  50.500000  50.799999  1.866000  1.934000  1.976000  49.200001
31 49.200001  50.000000  50.500000  1.832000  1.866000  1.934000  48.400002
32 48.400002  49.200001  50.000000  1.767000  1.832000  1.866000  47.900002
33 47.900002  48.400002  49.200001  1.608000  1.767000  1.832000  47.599998
34 47.599998  47.900002  48.400002  1.265000  1.608000  1.767000  47.500000
35 47.500000  47.599998  47.900002  0.790000  1.265000  1.608000  47.500000
36 47.500000  47.500000  47.599998  0.360000  0.790000  1.265000  47.599998
37 47.599998  47.500000  47.500000  0.115000  0.360000  0.790000  48.099998
38 48.099998  47.599998  47.500000  0.088000  0.115000  0.360000  49.000000
39 49.000000  48.099998  47.599998  0.331000  0.088000  0.115000  50.000000
40 50.000000  49.000000  48.099998  0.645000  0.331000  0.088000  51.099998
41 51.099998  50.000000  49.000000  0.960000  0.645000  0.331000  51.799999
42 51.799999  51.099998  50.000000  1.409000  0.960000  0.645000  51.900002
43 51.900002  51.799999  51.099998  2.670000  1.409000  0.960000  51.700001
44 51.700001  51.900002  51.799999  2.834000  2.670000  1.409000  51.200001
45 51.200001  51.700001  51.900002  2.812000  2.834000  2.670000  50.000000
